sample	Name	classification	Completeness	Contamination	quality_tier	Contig_N50	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length
C06	binette_bin1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__	100	0.07	High-Quality (HQ)	5189650	5189650	0.68	4181	1	5189650
C06	binette_bin10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Mariniradius;s__	50.02	1.22	Medium-Quality (MQ)	23702	2795856	0.47	2963	146	78214
C06	binette_bin2	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Microcoleus;s__Microcoleus sp015207505	100	0.17	High-Quality (HQ)	6586680	6586680	0.46	5570	1	6586680
C06	binette_bin3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	100	1.57	High-Quality (HQ)	494867	3243662	0.64	3040	9	652674
C06	binette_bin4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Neoroseomonas;s__	91.69	0.63	High-Quality (HQ)	70842	4501339	0.72	4457	100	229055
C06	binette_bin5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__	85.85	0.54	Medium-Quality (MQ)	62411	3360289	0.63	3419	82	195244
C06	binette_bin6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aquamicrobium_A;s__Aquamicrobium_A microcysteis	86.7	1.84	Medium-Quality (MQ)	30529	4178018	0.64	4335	165	111773
C06	binette_bin7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Lacibacter;s__	82.3	0.22	Medium-Quality (MQ)	40907	3609837	0.42	3582	111	132103
C06	binette_bin8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter_B;s__	75.17	1.21	Medium-Quality (MQ)	31148	3008073	0.64	3206	126	80236
C06	binette_bin9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Phreatobacteraceae;g__Phreatobacter;s__Phreatobacter sp022843985	58.3	0.04	Medium-Quality (MQ)	20992	2711215	0.68	2728	148	75184
C07	binette_bin1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__	100	0.07	High-Quality (HQ)	4436598	5183801	0.68	4180	2	4436598
